text,label
"Esse produto é péssimo.",0
"Não gostei do atendimento.",0
"A comida estava fria.",0
"O serviço foi muito ruim.",0
"Nada funciona direito aqui.",0
"O preço é absurdo.",0
"Foi uma experiência decepcionante.",0
"Não voltarei mais a este lugar.",0
"A entrega atrasou demais.",0
"Estou muito insatisfeito.",0
"A qualidade deixou a desejar.",0
"Não recomendo para ninguém.",0
"Achei horrível.",0
"O aplicativo trava toda hora.",0
"É completamente inaceitável.",0
"O suporte técnico é inútil.",0
"A embalagem veio danificada.",0
"A limpeza era péssima.",0
"Senti que fui enganado.",0
"O ambiente era desconfortável.",0
"O produto veio com defeito.",0
"Não consegui resolver meu problema.",0
"O site está fora do ar.",0
"Fui mal atendido.",0
"Não vale o preço cobrado.",0
"A experiência foi frustrante.",0
"Detestei o sabor do prato.",0
"A loja não cumpriu o prazo.",0
"Os funcionários foram grosseiros.",0
"A fila era interminável.",0
"Tudo parecia desorganizado.",0
"Não atendeu às minhas expectativas.",0
"Os materiais são de baixa qualidade.",0
"Não consegui acessar minha conta.",0
"O lugar estava muito sujo.",0
"Achei tudo caro e ruim.",0
"Ninguém respondeu minhas dúvidas.",0
"O barulho era insuportável.",0
"A política de troca é horrível.",0
"Não havia ninguém para ajudar.",0
"A conexão estava instável.",0
"O suporte nunca atende.",0
"Foi um desperdício de dinheiro.",0
"Nunca mais compro aqui.",0
"A resposta foi extremamente demorada.",0
"A pintura descascou em poucos dias.",0
"A montagem foi muito complicada.",0
"O manual não explica nada.",0
"A luz estava fraca no local.",0
"O design é feio e ultrapassado.",0
"Não funciona como prometido.",0
"A equipe não demonstrou interesse.",0
"Não consegui cancelar a assinatura.",0
"O aplicativo é cheio de bugs.",0
"Foi uma perda de tempo total.",0
"A comida estava sem sabor.",0
"Não há suporte para o meu problema.",0
"A embalagem estava aberta.",0
"Não respeitam os consumidores.",0
"A resposta foi vaga e inútil.",0
"A fila do atendimento era enorme.",0
"Nada foi feito para me ajudar.",0
"Os ingredientes não eram frescos.",0
"O produto não corresponde à descrição.",0
"Fui ignorado no chat de suporte.",0
"O serviço é extremamente lento.",0
"Achei a experiência entediante.",0
"A garantia não cobre o problema.",0
"A propaganda é enganosa.",0
"Nada foi resolvido até agora.",0
"O atendimento demorou muito.",0
"O produto não corresponde ao anúncio.",0
"A comida chegou completamente fria.",0
"O site não carrega de jeito nenhum.",0
"Não consegui falar com o suporte.",0
"A qualidade é muito inferior ao esperado.",0
"O local estava muito barulhento.",0
"A promessa de reembolso não foi cumprida.",0
"O aplicativo é confuso e pouco funcional.",0
"O produto veio faltando peças importantes.",0
"Não me senti bem recebido no estabelecimento.",0
"O cheiro no ambiente era desagradável.",0
"Não havia nenhuma opção disponível no cardápio.",0
"O produto foi entregue com arranhões.",0
"A resposta do atendimento foi evasiva.",0
"Tive muita dificuldade em resolver meu problema.",0
"O preço é completamente injustificado.",0
"O local estava muito mal iluminado.",0
"Não cumpriram o horário combinado.",0
"A embalagem estava totalmente amassada.",0
"Os ingredientes não pareciam frescos.",0
"O serviço foi prestado de forma apressada e descuidada.",0
"A conexão do Wi-Fi era péssima.",0
"O funcionário foi rude comigo.",0
"Não havia sinalização adequada no local.",0
"O produto que recebi era usado.",0
"Não recomendo por causa da má experiência.",0
"A política de devolução é complicada demais.",0
"O suporte apenas enrola e não resolve nada.",0
"O pagamento foi cobrado duas vezes.",0
"O site está disponível para acesso.",1
"O pedido foi registrado no sistema.",1
"A loja abre às 9h.",1
"O manual veio na caixa.",1
"As opções foram apresentadas.",1
"A instalação foi realizada.",1
"O pagamento foi confirmado.",1
"O cliente retirou o produto na loja.",1
"A fila para o atendimento era moderada.",1
"O suporte técnico atendeu a ligação.",1
"O aplicativo foi atualizado.",1
"A encomenda chegou na portaria.",1
"A embalagem era de plástico.",1
"O cardápio tinha diversas opções.",1
"O funcionário explicou o procedimento.",1
"O contrato foi assinado ontem.",1
"A temperatura estava agradável.",1
"O documento foi enviado por e-mail.",1
"Fiz o login no site sem dificuldades.",1
"A loja estava com um movimento regular.",1
"O local tinha mesas e cadeiras disponíveis.",1
"A luz foi restabelecida rapidamente.",1
"O carro estava estacionado na vaga.",1
"A entrega foi feita pelo correio.",1
"O sistema exige senha para acesso.",1
"Os itens estavam na prateleira.",1
